x,y,date,id
707897.750992718,7951020.698912641,2010-01-01T00:00:00Z,AG268
707910.156661009,7950996.20766573,2010-01-01T00:15:00Z,AG268
707905.9327693499,7950996.253806,2010-01-01T00:30:00Z,AG268
707835.0375440072,7950983.74315818,2010-01-01T00:45:00Z,AG268
707821.285736856,7950981.67916446,2010-01-01T01:00:00Z,AG268
707793.612939031,7950962.05390011,2010-01-01T01:15:00Z,AG268
707768.4676391358,7950883.725868721,2010-01-01T01:30:00Z,AG268
707776.823226005,7950778.46221279,2010-01-01T01:45:00Z,AG268
707786.8631129707,7950730.74822229,2010-01-01T02:00:00Z,AG268
707825.7884787659,7950717.03821999,2010-01-01T02:15:00Z,AG268
707830.0002175742,7950715.88514475,2010-01-01T02:30:00Z,AG268
707826.8323468063,7950715.919741249,2010-01-01T02:45:00Z,AG268
707833.1680883889,7950715.85054772,2010-01-01T03:00:00Z,AG268
707833.1559990791,7950714.743600981,2010-01-01T03:15:00Z,AG268
707831.1045311913,7950720.30139934,2010-01-01T03:30:00Z,AG268
707834.3328493938,7950725.80153586,2010-01-01T03:45:00Z,AG268
707834.2844920981,7950721.37374894,2010-01-01T04:00:00Z,AG268
707821.1536340734,7950679.44816007,2010-01-01T04:15:00Z,AG268
707809.1029530232,7950639.72492803,2010-01-01T04:30:00Z,AG268
707823.6807716182,7950620.74538605,2010-01-01T04:45:00Z,AG268
707892.7568168212,7950563.52981341,2010-01-01T05:00:00Z,AG268
707959.7568556143,7950509.65787058,2010-01-01T05:15:00Z,AG268
708096.6518773838,7950570.15774898,2010-01-01T05:30:00Z,AG268
708232.879513888,7950666.09064203,2010-01-01T05:45:00Z,AG268
708329.8440771691,7950744.73925008,2010-01-01T06:00:00Z,AG268
708656.9738405609,7950721.227763031,2010-01-01T06:15:00Z,AG268
709212.2615553552,7950605.52951662,2010-01-01T06:30:00Z,AG268
709225.429139104,7950554.458707071,2010-01-01T06:45:00Z,AG268
709284.1307901841,7950706.5913227005,2010-01-01T07:00:00Z,AG268
709167.578286439,7950863.97204413,2010-01-01T07:15:00Z,AG268
709044.9432083764,7951044.66743211,2010-01-01T07:30:00Z,AG268
708997.692896345,7951165.85866701,2010-01-01T07:45:00Z,AG268
708976.13693386,7951222.556695041,2010-01-01T08:00:00Z,AG268
708925.365311915,7951311.6808238,2010-01-01T08:15:00Z,AG268
708919.3087544639,7951337.21024894,2010-01-01T08:30:00Z,AG268
708924.5887412331,7951337.152301541,2010-01-01T08:45:00Z,AG268
708900.8352842717,7951386.1247131,2010-01-01T09:00:00Z,AG268
708873.210476285,7951563.56135322,2010-01-01T09:15:00Z,AG268
708879.6194029099,7951570.13354602,2010-01-01T09:30:00Z,AG268
708888.6261580398,7951620.96061248,2010-01-01T09:45:00Z,AG268
708924.7128051862,7951637.17092203,2010-01-01T10:00:00Z,AG268
708982.6731213861,7951721.7803574,2010-01-01T10:15:00Z,AG268
708993.6342714999,7951758.19384945,2010-01-01T10:30:00Z,AG268
